name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
TestInventory,2,,2,,,,,,,,CapitalizedWords,"['test', 'inventory']"
ipv6_re,2,,,,,,,,,2,lower_case_with_underscores,"['ipv6', 're']"
description,9,,,,,,9,,,,lowercase,['description']
after,4,,,,,,4,,,,lowercase,['after']
is_chained,2,,,,,,,,,2,lower_case_with_underscores,"['is', 'chained']"
summarize,2,1,,,,,,,,1,lowercase,['summarize']
exec_command,11,8,,,,,,,,3,lower_case_with_underscores,"['exec', 'command']"
constants,56,,,29,,,,,,27,lowercase,['constants']
on_file_diff,6,3,,,,,,,,3,lower_case_with_underscores,"['on', 'file', 'diff']"
loader,6,,,,,,2,,,4,lowercase,['loader']
alias,5,,,,,,,,,5,lowercase,['alias']
environ,37,,,,,,,,,37,lowercase,['environ']
is_new_style,1,,,,,,,,,1,lower_case_with_underscores,"['is', 'new', 'style']"
json_inventory,8,,,,,,,,,8,lower_case_with_underscores,"['json', 'inventory']"
restriction,10,,,,,,,,,10,lowercase,['restriction']
test_check_conditional_jinja2_expression_in_variable,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'check', 'conditional', 'jinja2', 'expression', 'in', 'variable']"
check_list_of_one_list,3,1,,,,,,,,2,lower_case_with_underscores,"['check', 'list', 'of', 'one', 'list']"
vars,162,,,,,,2,,,160,lowercase,['vars']
_async_notified,10,,,,,,,,,10,lower_case_with_underscores,"['async', 'notified']"
on_any,4,4,,,,,,,,,lower_case_with_underscores,"['on', 'any']"
category_names,3,,,,,,,,,3,lower_case_with_underscores,"['category', 'names']"
_is_valid_tag,2,1,,,,,,,,1,lower_case_with_underscores,"['is', 'valid', 'tag']"
top_level_url,2,,,,,,,,,2,lower_case_with_underscores,"['top', 'level', 'url']"
globbed,2,,,,,,,,,2,lowercase,['globbed']
CONF_FILE,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['conf', 'file']"
destination_variable,2,,,,,,,,,2,lower_case_with_underscores,"['destination', 'variable']"
libcloud,5,,,5,,,,,,,lowercase,['libcloud']
S_IMODE,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['s', 'imode']"
digest,11,,,,,,,,,11,lowercase,['digest']
runner_on_async_poll,3,3,,,,,,,,,lower_case_with_underscores,"['runner', 'on', 'async', 'poll']"
hostsData,2,,,,,,,,,2,mixedCase,"['hosts', 'data']"
AUTHENTICITY_MSG,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['authenticity', 'msg']"
HOST_KEY_CHECKING,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['host', 'key', 'checking']"
endpoint,1,,,,,,,,,1,lowercase,['endpoint']
_connect_uncached,2,1,,,,,,,,1,lower_case_with_underscores,"['connect', 'uncached']"
NameError,1,,,,,,,,,1,CapitalizedWords,"['name', 'error']"
imp,3,,,1,,,,,,2,lowercase,['imp']
kwargs,42,,,,,,,,,42,lowercase,['kwargs']
load_chube_config,1,,,,,,,,,1,lower_case_with_underscores,"['load', 'chube', 'config']"
html_style,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'style']"
variables,3,,,,,,,,,3,lowercase,['variables']
cls,9,,,,,,,,,9,lowercase,['cls']
clear_hosts_cache,5,1,,,,,,,,4,lower_case_with_underscores,"['clear', 'hosts', 'cache']"
fragment,3,,,,,,,,,3,lowercase,['fragment']
INAME6,6,,,,,,,,,6,UPPERCASE,['iname6']
INAME7,5,,,,,,,,,5,UPPERCASE,['iname7']
INAME4,10,,,,,,,,,10,UPPERCASE,['iname4']
INAME5,10,,,,,,,,,10,UPPERCASE,['iname5']
jinja2,20,,,5,,,2,,,13,lowercase,['jinja2']
INAME3,10,,,,,,,,,10,UPPERCASE,['iname3']
