name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
standard_library,20,,,12,,,,,,8,lower_case_with_underscores,"['standard', 'library']"
shlex,65,,,27,,,,,,38,lowercase,['shlex']
six,446,,,210,,,,,,236,lowercase,['six']
iteritems,112,,,29,,,,,,83,lowercase,['iteritems']
warnings,2891,,,994,,1,,,,1896,lowercase,['warnings']
backports,8,,,8,,,,,,,lowercase,['backports']
configparser,111,,,41,,,,5,3,62,lowercase,['configparser']
ConfigParser,197,,,66,,,,4,,127,CapitalizedWords,"['config', 'parser']"
_UNSET,51,,,5,,,,,,46,UPPERCASE,"['unse', 't']"
NoOptionError,39,,,5,,,,,,34,CapitalizedWords,"['no', 'option', 'error']"
zope,14,,,14,,,,,,,lowercase,['zope']
deprecation,21,,,17,,,,,,4,lowercase,['deprecation']
deprecated,56,,,31,,,,,,25,lowercase,['deprecated']
_deprecated,27,1,,,,,,9,,17,lowercase,['deprecated']
airflow,19792,,,19515,,,,,,277,lowercase,['airflow']
exceptions,2139,,,1851,,1,,,,287,lowercase,['exceptions']
AirflowConfigException,281,,5,90,,,,,,186,CapitalizedWords,"['airflow', 'config', 'exception']"
utils,4973,,,4746,,,,4,,223,lowercase,['utils']
log,12006,21,,441,,44,26,,,11474,lowercase,['log']
logging_mixin,302,,,302,,,,,,,lower_case_with_underscores,"['logging', 'mixin']"
LoggingMixin,684,,5,309,,,,,,370,CapitalizedWords,"['logging', 'mixin']"
install_aliases,16,,,4,,,,,,12,lower_case_with_underscores,"['install', 'aliases']"
filterwarnings,14,,,,,,,,,14,lowercase,['filterwarnings']
action,1214,,,7,,35,679,,,493,lowercase,['action']
category,307,,,,,11,252,,,44,lowercase,['category']
DeprecationWarning,1655,,,,,,,,,1655,CapitalizedWords,"['deprecation', 'warning']"
module,205,,,,,11,11,,,183,lowercase,['module']
PendingDeprecationWarning,28,,,,,,,,,28,CapitalizedWords,"['pending', 'deprecation', 'warning']"
generate_fernet_key,4,2,,,,,,,,2,lower_case_with_underscores,"['generate', 'fernet', 'key']"
cryptography,105,,,105,,,,,,,lowercase,['cryptography']
fernet,133,,,23,,,,,,110,lowercase,['fernet']
Fernet,64,,,20,,,,,,44,CapitalizedWords,['fernet']
decode,1133,7,,,,8,10,,,1108,lowercase,['decode']
generate_key,27,,,,,,,,,27,lower_case_with_underscores,"['generate', 'key']"
expand_env_var,48,7,,1,,,,,,40,lower_case_with_underscores,"['expand', 'env', 'var']"
env_var,116,,,,,16,,,,100,lower_case_with_underscores,"['env', 'var']"
interpolated,20,,,,,,,,,20,lowercase,['interpolated']
expanduser,181,,,10,,,,,,171,lowercase,['expanduser']
expandvars,20,,,,,,,,,20,lowercase,['expandvars']
run_command,87,13,,9,,,,,,65,lower_case_with_underscores,"['run', 'command']"
process,357,2,,,,5,12,,,338,lowercase,['process']
Popen,259,2,,34,,,,,,223,CapitalizedWords,['popen']
stdout,939,,,,,5,248,,,686,lowercase,['stdout']
PIPE,235,,,32,,,,,,203,UPPERCASE,"['pip', 'e']"
stderr,648,,,,,6,221,,,421,lowercase,['stderr']
close_fds,117,,,,,1,116,,,,lower_case_with_underscores,"['close', 'fds']"
output,811,4,,,,18,77,,,712,lowercase,['output']
stream,210,5,,14,,24,42,,,125,lowercase,['stream']
getdefaultencoding,18,,,,,,,,,18,lowercase,['getdefaultencoding']
communicate,30,,,,,,,,,30,lowercase,['communicate']
returncode,221,,,,,,3,,,218,lowercase,['returncode']
_read_default_config_file,12,3,,,,,,,,9,lower_case_with_underscores,"['read', 'default', 'config', 'file']"
file_name,402,,,,,64,24,,,314,lower_case_with_underscores,"['file', 'name']"
templates_dir,18,,,,,,,,,18,lower_case_with_underscores,"['templates', 'dir']"
dirname,425,,,20,,,,,,405,lowercase,['dirname']
file_path,1014,8,,,,159,78,,,769,lower_case_with_underscores,"['file', 'path']"
PY2,59,,,7,,,,,,52,UPPERCASE,['py2']
config,3633,2,,156,,292,195,,,2988,lowercase,['config']
DEFAULT_CONFIG,17,,,2,,,,,,15,UPPER_CASE_WITH_UNDERSCORES,"['default', 'config']"
TEST_CONFIG,31,,,,,,,,,31,UPPER_CASE_WITH_UNDERSCORES,"['test', 'config']"
AirflowConfigParser,83,,5,8,,,,,,70,CapitalizedWords,"['airflow', 'config', 'parser']"
as_command_stdout,14,,,,,,,,,14,lower_case_with_underscores,"['as', 'command', 'stdout']"
deprecated_options,41,,,,,2,,,,39,lower_case_with_underscores,"['deprecated', 'options']"
deprecation_format_string,2,,,,,,,,,2,lower_case_with_underscores,"['deprecation', 'format', 'string']"
deprecated_values,17,,,,,,,,,17,lower_case_with_underscores,"['deprecated', 'values']"
deprecation_value_format_string,2,,,,,,,,,2,lower_case_with_underscores,"['deprecation', 'value', 'format', 'string']"
default_config,58,3,,,,5,24,,,26,lower_case_with_underscores,"['default', 'config']"
kwargs,11406,,,,,4641,14,,,6751,lowercase,['kwargs']
super,5110,,,,,,,,,5110,lowercase,['super']
airflow_defaults,53,,,,,,,,,53,lower_case_with_underscores,"['airflow', 'defaults']"
read_string,29,,,,,,,,,29,lower_case_with_underscores,"['read', 'string']"
is_validated,10,,,,,,,,,10,lower_case_with_underscores,"['is', 'validated']"
_validate,79,14,,,,,,,,65,lowercase,['validate']
get,10608,50,,,,,,,,10558,lowercase,['get']
getboolean,579,9,,,,,,,,570,lowercase,['getboolean']
lower,867,,,,,3,1,,,863,lowercase,['lower']
section,676,,,,,99,47,,,530,lowercase,['section']
replacement,19,,,,,1,,,,18,lowercase,['replacement']
items,1537,3,,,,65,25,,,1444,lowercase,['items']
info,7281,13,,,,27,11,,,7230,lowercase,['info']
old,66,,,,,6,7,,,53,lowercase,['old']
new,195,,,,,2,126,,,67,lowercase,['new']
fallback,406,,,,,6,381,,,19,lowercase,['fallback']
_env_var_name,24,5,,,,,,,,19,lower_case_with_underscores,"['env', 'var', 'name']"
pop,649,,,,,,,,,649,lowercase,['pop']
environ,2190,,,5,,6,2,,,2177,lowercase,['environ']
set,1456,19,,,,,,,,1437,lowercase,['set']
warn,1816,5,,2,,3,,,,1806,lowercase,['warn']
locals,83,,,,,,1,,,82,lowercase,['locals']
FutureWarning,20,,,,,,,,,20,CapitalizedWords,"['future', 'warning']"
key,7030,13,,,4,744,1191,,,5078,lowercase,['key']
S,16,,,,,,4,,,12,B,"['', 's']"
upper,246,,,,,3,1,,,242,lowercase,['upper']
K,2,,,,,,2,,,,B,"['', 'k']"
staticmethod,1408,,,,,,,,,1408,lowercase,['staticmethod']
_get_env_var_option,26,5,,,,,,,,21,lower_case_with_underscores,"['get', 'env', 'var', 'option']"
_get_cmd_option,20,5,,,,,,,,15,lower_case_with_underscores,"['get', 'cmd', 'option']"
fallback_key,28,,,,,,,,,28,lower_case_with_underscores,"['fallback', 'key']"
has_option,355,8,,,,,,,,347,lower_case_with_underscores,"['has', 'option']"
deprecated_name,35,,,,,5,,,,30,lower_case_with_underscores,"['deprecated', 'name']"
option,470,,,,,13,,,,457,lowercase,['option']
_warn_deprecate,23,5,,,,,,,,18,lower_case_with_underscores,"['warn', 'deprecate']"
val,766,5,,,,51,7,,,703,lowercase,['val']
strip,532,,,,,,,,,532,lowercase,['strip']
getint,519,9,,,,,,,,510,lowercase,['getint']
int,3698,,,,,,4,,,3694,lowercase,['int']
getfloat,57,8,,,,,,,,49,lowercase,['getfloat']
float,1775,,,,,,,,,1775,lowercase,['float']
filenames,21,,,,,5,3,,,13,lowercase,['filenames']
read_dict,20,5,,,,,,,,15,lower_case_with_underscores,"['read', 'dict']"
remove_option,57,8,,,,,,,,49,lower_case_with_underscores,"['remove', 'option']"
remove_default,14,,,,,5,4,,,5,lower_case_with_underscores,"['remove', 'default']"
getsection,50,8,,,,,,,,42,lowercase,['getsection']
_sections,13,,,,,,,,,13,lowercase,['sections']
_section,36,,,,,,,,,36,lowercase,['section']
deepcopy,435,,,84,,,,,,351,lowercase,['deepcopy']
update,1166,5,,,,5,,,,1156,lowercase,['update']
section_prefix,15,,,,,,,,,15,lower_case_with_underscores,"['section', 'prefix']"
sorted,506,,,,,,,,,506,lowercase,['sorted']
keys,878,4,,,,40,33,,,801,lowercase,['keys']
startswith,599,,,,,,,,,599,lowercase,['startswith']
replace,1258,2,,,,101,111,,,1044,lowercase,['replace']
ValueError,1689,,,,,,,,,1689,CapitalizedWords,"['value', 'error']"
as_dict,75,13,,,,,,,,62,lower_case_with_underscores,"['as', 'dict']"
display_source,68,,,,,21,9,,,38,lower_case_with_underscores,"['display', 'source']"
display_sensitive,67,,,,,14,29,,,24,lower_case_with_underscores,"['display', 'sensitive']"
raw,236,,,,,41,43,,,152,lowercase,['raw']
cfg,101,,,,,3,,,,98,lowercase,['cfg']
configs,94,,,3,,16,13,,,62,lowercase,['configs']
source_name,17,,,,,3,,,,14,lower_case_with_underscores,"['source', 'name']"
sections,70,,,,,,4,,,66,lowercase,['sections']
sect,14,,,,,,,,,14,lowercase,['sect']
setdefault,241,5,,,,,,,,236,lowercase,['setdefault']
k,2274,,,,,21,14,,,2239,b,['k']
ev,22,,,,,,,,,22,lowercase,['ev']
_,1063,,,5,,314,,2,,742,ugly,[]
opt,131,,,,,,,,,131,lowercase,['opt']
load_test_config,221,8,,2,,,,,,211,lower_case_with_underscores,"['load', 'test', 'config']"
parameterized_config,41,5,,4,,,,,,32,lower_case_with_underscores,"['parameterized', 'config']"
TEST_CONFIG_FILE,32,,,,,,,,,32,UPPER_CASE_WITH_UNDERSCORES,"['test', 'config', 'file']"
stacklevel,1598,,,,,2,1594,,,2,lowercase,['stacklevel']
mkdir_p,15,2,,5,,,,,,8,lower_case_with_underscores,"['mkdir', 'p']"
makedirs,84,2,,,,,,,,82,lowercase,['makedirs']
exc,284,,,78,57,1,1,,,147,lowercase,['exc']
OSError,160,,,,,,,,,160,CapitalizedWords,"['os', 'error']"
EEXIST,5,,,,,,,,,5,UPPERCASE,"['eexis', 't']"
isdir,59,1,,,,,,,,58,lowercase,['isdir']
strerror,2,,,,,,,,,2,lowercase,['strerror']
get_airflow_home,20,5,,1,,,,,,14,lower_case_with_underscores,"['get', 'airflow', 'home']"
get_airflow_config,21,5,,3,,,,,,13,lower_case_with_underscores,"['get', 'airflow', 'config']"
airflow_home,49,,,,,9,,,,40,lower_case_with_underscores,"['airflow', 'home']"
AIRFLOW_HOME,119,,,12,,,5,,2,100,UPPER_CASE_WITH_UNDERSCORES,"['airflow', 'home']"
AIRFLOW_CONFIG,60,,,3,,,5,,,52,UPPER_CASE_WITH_UNDERSCORES,"['airflow', 'config']"
_TEST_DAGS_FOLDER,15,,,,,,,,,15,UPPER_CASE_WITH_UNDERSCORES,"['test', 'dags', 'folder']"
realpath,155,,,3,,,,,,152,lowercase,['realpath']
exists,668,16,,3,,2,,,,647,lowercase,['exists']
TEST_DAGS_FOLDER,40,,,2,,,,,,38,UPPER_CASE_WITH_UNDERSCORES,"['test', 'dags', 'folder']"
_TEST_PLUGINS_FOLDER,15,,,,,,,,,15,UPPER_CASE_WITH_UNDERSCORES,"['test', 'plugins', 'folder']"
TEST_PLUGINS_FOLDER,10,,,,,,,,,10,UPPER_CASE_WITH_UNDERSCORES,"['test', 'plugins', 'folder']"
template,314,,,,,38,35,,,241,lowercase,['template']
all_vars,10,,,,,,,,,10,lower_case_with_underscores,"['all', 'vars']"
v,1710,,,,,42,12,,,1656,b,['v']
d,863,,,,,62,21,,,780,b,['d']
globals,87,,,,,,1,,,86,lowercase,['globals']
isfile,227,2,,,,,,,,225,lowercase,['isfile']
FERNET_KEY,28,,,,,,,,2,26,UPPER_CASE_WITH_UNDERSCORES,"['fernet', 'key']"
TEMPLATE_START,13,,,,,,,,,13,UPPER_CASE_WITH_UNDERSCORES,"['template', 'start']"
encode,369,9,,,,,,,,360,lowercase,['encode']
conf,3628,7,,418,,84,140,26,,2953,lowercase,['conf']
msg,968,,,,1,90,76,,,801,lowercase,['msg']
_old_config_file,8,,,,,,,,,8,lower_case_with_underscores,"['old', 'config', 'file']"
WEBSERVER_CONFIG,34,,,5,,,,,2,27,UPPER_CASE_WITH_UNDERSCORES,"['webserver', 'config']"
DEFAULT_WEBSERVER_CONFIG,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['default', 'webserver', 'config']"
func,1221,7,,91,,127,266,,,730,lowercase,['func']
flask_login,60,,,38,,,,,,22,lower_case_with_underscores,"['flask', 'login']"
login_required,82,,,10,,,,,,72,lower_case_with_underscores,"['login', 'required']"
current_user,90,2,,23,,,,,,65,lower_case_with_underscores,"['current', 'user']"
logout_user,18,,,11,,,,,,7,lower_case_with_underscores,"['logout', 'user']"
flask,319,,,287,,,,,,32,lowercase,['flask']
url_for,274,,,60,,,,,,214,lower_case_with_underscores,"['url', 'for']"
redirect,401,,,34,,,,,,367,lowercase,['redirect']
settings,1496,,,410,,,,4,,1082,lowercase,['settings']
models,5232,,,3611,,,,,,1621,lowercase,['models']
db,1601,6,,400,,21,32,,,1142,lowercase,['db']
provide_session,1688,5,,322,,,,,,1361,lower_case_with_underscores,"['provide', 'session']"
DEFAULT_USERNAME,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['default', 'username']"
login_manager,38,,,,,,,,,38,lower_case_with_underscores,"['login', 'manager']"
LoginManager,18,,,2,,,,,,16,CapitalizedWords,"['login', 'manager']"
login_view,14,,,,,,,,,14,lower_case_with_underscores,"['login', 'view']"
login_message,8,,,,,,,,,8,lower_case_with_underscores,"['login', 'message']"
DefaultUser,6,,2,,,,,,,4,CapitalizedWords,"['default', 'user']"
object,1526,,,15,,40,66,,,1405,lowercase,['object']
user,1762,2,,1,,130,140,,,1489,lowercase,['user']
is_active,154,13,,,,,8,,,133,lower_case_with_underscores,"['is', 'active']"
property,1096,,,,,,,,,1096,lowercase,['property']
is_authenticated,80,13,,,,,,,,67,lower_case_with_underscores,"['is', 'authenticated']"
is_anonymous,56,13,,,,,,,,43,lower_case_with_underscores,"['is', 'anonymous']"
data_profiling,16,12,,,,,,,,4,lower_case_with_underscores,"['data', 'profiling']"
is_superuser,32,14,,,,,12,,,6,lower_case_with_underscores,"['is', 'superuser']"
load_user,22,14,,,,,,,,8,lower_case_with_underscores,"['load', 'user']"
userid,64,,,,,14,,,,50,lowercase,['userid']
session,12868,2,,376,,1745,1450,,,9295,lowercase,['session']
first,533,,,,,7,,,,526,lowercase,['first']
filter,2441,2,,,,32,131,,,2276,lowercase,['filter']
query,4599,39,,4,,169,166,,,4221,lowercase,['query']
User,298,,10,71,,,1,,,216,CapitalizedWords,['user']
id,1072,,,,,32,72,,,968,lowercase,['id']
user_loader,14,,,,,,,,,14,lower_case_with_underscores,"['user', 'loader']"
login,1146,28,,2,,9,242,,2,863,lowercase,['login']
request,3953,12,,115,,370,438,,,3018,lowercase,['request']
username,1466,,,,,126,534,,,806,lowercase,['username']
merge,592,,,5,,,,,,587,lowercase,['merge']
login_user,24,,,8,,,,,,16,lower_case_with_underscores,"['login', 'user']"
AirflowException,6466,,5,1459,,,,,,5002,CapitalizedWords,"['airflow', 'exception']"
status_code,1325,,,,,34,88,,,1203,lower_case_with_underscores,"['status', 'code']"
AirflowBadRequest,170,,5,18,,,,,,147,CapitalizedWords,"['airflow', 'bad', 'request']"
AirflowNotFoundException,71,,5,15,,,,,,51,CapitalizedWords,"['airflow', 'not', 'found', 'exception']"
AirflowSensorTimeout,133,,5,42,,,,,,86,CapitalizedWords,"['airflow', 'sensor', 'timeout']"
AirflowRescheduleException,34,,5,13,,,,,,16,CapitalizedWords,"['airflow', 'reschedule', 'exception']"
reschedule_date,96,,,,,13,6,,,77,lower_case_with_underscores,"['reschedule', 'date']"
AirflowTaskTimeout,75,,5,31,,,,,,39,CapitalizedWords,"['airflow', 'task', 'timeout']"
AirflowWebServerTimeout,20,,5,5,,,,,,10,CapitalizedWords,"['airflow', 'web', 'server', 'timeout']"
AirflowSkipException,57,,5,25,,,,,,27,CapitalizedWords,"['airflow', 'skip', 'exception']"
AirflowDagCycleException,46,,5,13,,,,,,28,CapitalizedWords,"['airflow', 'dag', 'cycle', 'exception']"
DagNotFound,81,,5,34,,,,,,42,CapitalizedWords,"['dag', 'not', 'found']"
DagRunNotFound,27,,5,10,,,,,,12,CapitalizedWords,"['dag', 'run', 'not', 'found']"
DagRunAlreadyExists,23,,5,9,,,,,,9,CapitalizedWords,"['dag', 'run', 'already', 'exists']"
DagFileExists,19,,5,7,,,,,,7,CapitalizedWords,"['dag', 'file', 'exists']"
TaskNotFound,60,,5,26,,,,,,29,CapitalizedWords,"['task', 'not', 'found']"
TaskInstanceNotFound,23,,5,9,,,,,,9,CapitalizedWords,"['task', 'instance', 'not', 'found']"
PoolNotFound,54,,5,19,,,,,,30,CapitalizedWords,"['pool', 'not', 'found']"
getpass,99,,,40,,,,,,59,lowercase,['getpass']
multiprocessing,161,,,66,,,,,,95,lowercase,['multiprocessing']
signal,565,,,77,,,,,,488,lowercase,['signal']
threading,63,,,33,,,,,,30,lowercase,['threading']
time,1587,,,540,,2,1,,,1044,lowercase,['time']
defaultdict,224,,,69,,,,,,155,lowercase,['defaultdict']
datetime,4860,5,,1510,,,4,,,3341,lowercase,['datetime']
timedelta,1599,,,299,,,,,,1300,lowercase,['timedelta']
sleep,637,,,74,,,,,,563,lowercase,['sleep']
typing,2047,,,2038,,,,,,9,lowercase,['typing']
Any,3788,,,780,,,,,,3008,CapitalizedWords,['any']
past,215,,,26,,19,90,,,80,lowercase,['past']
basestring,59,,,22,,,,,,37,lowercase,['basestring']
sqlalchemy,1131,,,1109,,,,,,22,lowercase,['sqlalchemy']
Column,2801,,3,126,,,,,,2672,CapitalizedWords,['column']
Index,159,,,48,,,,,,111,CapitalizedWords,['index']
Integer,791,,,101,,,,,,690,CapitalizedWords,['integer']
String,1262,,,110,,,,,,1152,CapitalizedWords,['string']
and_,196,,,54,,,,,,142,lowercase,['and']
