name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
classify,6,,,,,,,,,6,lowercase,['classify']
compose_impl,3,1,,,,,,,,2,lower_case_with_underscores,"['compose', 'impl']"
A,540,,,,,,4,,,536,B,"['', 'a']"
Expm1,2,,1,,,,,,,1,CapitalizedWords,['expm1']
extra_inputs,6,,,,,,,,,6,lower_case_with_underscores,"['extra', 'inputs']"
BadAddSlice,2,,1,,,,,,,1,CapitalizedWords,"['bad', 'add', 'slice']"
test_constant_merging,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'constant', 'merging']"
remake_node,3,,,,,,,,,3,lower_case_with_underscores,"['remake', 'node']"
_operators,10,,2,,,,,,,8,lowercase,['operators']
host_input,93,,,,,,,,,93,lower_case_with_underscores,"['host', 'input']"
just_gemm,25,1,,,,,,,,24,lower_case_with_underscores,"['just', 'gemm']"
xshp_,2,,,,,,,,,2,lowercase,['xshp']
key_entry,2,,,,,,,,,2,lower_case_with_underscores,"['key', 'entry']"
logical_kern_align_top,16,,,,,,2,,,14,lower_case_with_underscores,"['logical', 'kern', 'align', 'top']"
storage_decl,1,,,,,,,,,1,lower_case_with_underscores,"['storage', 'decl']"
expected_connection_pattern,2,,,,,,,,,2,lower_case_with_underscores,"['expected', 'connection', 'pattern']"
types,39,,,2,,,1,,,36,lowercase,['types']
last_time_replaced,4,,,,,,,,,4,lower_case_with_underscores,"['last', 'time', 'replaced']"
outer_sitsot_last_step,2,,,,,,,,,2,lower_case_with_underscores,"['outer', 'sitsot', 'last', 'step']"
classmethod,12,,,,,,,,,12,lowercase,['classmethod']
state_updates,21,,,,,,,,,21,lower_case_with_underscores,"['state', 'updates']"
image_data3d,2,,,,,,,,,2,lower_case_with_underscores,"['image', 'data3d']"
atimes,14,,,,,,,,,14,lowercase,['atimes']
make_vm,2,1,,,,,,,,1,lower_case_with_underscores,"['make', 'vm']"
z_out,3,,,,,,,,,3,lower_case_with_underscores,"['z', 'out']"
test004_cloning_replace_not_strict_copy_inputs,1,1,,,,,,,,,lower_case_with_underscores,"['test004', 'cloning', 'replace', 'not', 'strict', 'copy', 'inputs']"
outgrads,2,,,,,,,,,2,lowercase,['outgrads']
NotImplementedError,328,,,,,,,,,328,CapitalizedWords,"['not', 'implemented', 'error']"
d0,21,,,,,,,,,21,lowercase,['d0']
warnstr,4,,,,,,,,,4,lowercase,['warnstr']
java_samples,8,,,,,,,,,8,lower_case_with_underscores,"['java', 'samples']"
local_inplace_gemv,4,2,,,,,,,,2,lower_case_with_underscores,"['local', 'inplace', 'gemv']"
check_broadcast,11,,,,,,2,,,9,lower_case_with_underscores,"['check', 'broadcast']"
DummyConv3D,2,,1,,,,,,,1,CapitalizedWords,"['dummy', 'conv3', 'd']"
xlim,1,,,,,,,,,1,lowercase,['xlim']
_W,12,,,,,,,,,12,B,"['', 'w']"
alloc_w_dep,4,,,,,,,,,4,lower_case_with_underscores,"['alloc', 'w', 'dep']"
v_x,29,,,,,,,,,29,lower_case_with_underscores,"['v', 'x']"
v_y,19,,,,,,,,,19,lower_case_with_underscores,"['v', 'y']"
operator_plus,2,,,,,,,,,2,lower_case_with_underscores,"['operator', 'plus']"
include_list,1,,,,,,,,,1,lower_case_with_underscores,"['include', 'list']"
use_ascii,2,,,,,,,,,2,lower_case_with_underscores,"['use', 'ascii']"
extra_ops,10,,,6,,,,,,4,lower_case_with_underscores,"['extra', 'ops']"
v_o,2,,,,,,,,,2,lower_case_with_underscores,"['v', 'o']"
cumsum,47,2,,3,,,,,,42,lowercase,['cumsum']
