name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
master_doc,1,,,,,,,,,1,lower_case_with_underscores,"['master', 'doc']"
project,7,,,,,,,,,7,lowercase,['project']
copyright,1,,,,,,,,,1,lowercase,['copyright']
pip_init,2,,,,,,,,,2,lower_case_with_underscores,"['pip', 'init']"
f,344,,,,,10,,,,334,b,['f']
m,225,,,,,2,,,,223,b,['m']
match,251,1,,,,1,1,,,248,lowercase,['match']
group,155,,,,,11,2,,,142,lowercase,['group']
print,91,,,,,,,,,91,lowercase,['print']
today_fmt,1,,,,,,,,,1,lower_case_with_underscores,"['today', 'fmt']"
exclude_patterns,1,,,,,,,,,1,lower_case_with_underscores,"['exclude', 'patterns']"
pygments_style,1,,,,,,,,,1,lower_case_with_underscores,"['pygments', 'style']"
extlinks,1,,,,,,,,,1,lowercase,['extlinks']
html_theme,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'theme']"
html_theme_options,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'theme', 'options']"
html_static_path,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'static', 'path']"
html_last_updated_fmt,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'last', 'updated', 'fmt']"
smartquotes,1,,,,,,,,,1,lowercase,['smartquotes']
smartquotes_action,1,,,,,,,,,1,lower_case_with_underscores,"['smartquotes', 'action']"
html_sidebars,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'sidebars']"
html_use_modindex,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'use', 'modindex']"
html_use_index,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'use', 'index']"
html_show_sourcelink,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'show', 'sourcelink']"
htmlhelp_basename,1,,,,,,,,,1,lower_case_with_underscores,"['htmlhelp', 'basename']"
latex_documents,1,,,,,,,,,1,lower_case_with_underscores,"['latex', 'documents']"
man_pages,2,,,,,,,,,2,lower_case_with_underscores,"['man', 'pages']"
to_document_name,2,1,,,,,,,,1,lower_case_with_underscores,"['to', 'document', 'name']"
base_dir,21,,,,,5,1,,,15,lower_case_with_underscores,"['base', 'dir']"
relative_path,9,,,,,2,,,,7,lower_case_with_underscores,"['relative', 'path']"
relpath,33,,,,,,,,,33,lowercase,['relpath']
root,155,,,,,12,8,,,135,lowercase,['root']
_,89,,,,,6,,,,83,ugly,[]
splitext,22,2,,3,,,,,,17,lowercase,['splitext']
sep,126,,,,,1,1,,,124,lowercase,['sep']
man_dir,3,,,,,,,,,3,lower_case_with_underscores,"['man', 'dir']"
raw_subcommands,3,,,,,,,,,3,lower_case_with_underscores,"['raw', 'subcommands']"
FileNotFoundError,10,,,1,,,,,,9,CapitalizedWords,"['file', 'not', 'found', 'error']"
fname,50,,,,,5,1,,,44,lowercase,['fname']
fname_base,3,,,,,,,,,3,lower_case_with_underscores,"['fname', 'base']"
outname,26,,,,,,,,,26,lowercase,['outname']
utils,385,,,367,,,,2,,16,lowercase,['utils']
typing,188,,,187,,,,,,1,lowercase,['typing']
MYPY_CHECK_RUNNING,202,,,99,,,,,,103,UPPER_CASE_WITH_UNDERSCORES,"['mypy', 'check', 'running']"
List,73,,,59,,,,,,14,CapitalizedWords,['list']
Optional,108,,1,69,,,,,,38,CapitalizedWords,['optional']
main,105,19,,8,,,,,,78,lowercase,['main']
entrypoints,3,,,3,,,,,,,lowercase,['entrypoints']
_wrapper,7,1,,3,,,,,,3,lowercase,['wrapper']
absolute_import,133,,,133,,,,,,,lower_case_with_underscores,"['absolute', 'import']"
_main,6,2,,,,,,1,,3,lowercase,['main']
exit,26,,,,,1,,,,25,lowercase,['exit']
logging,306,,,135,,,,,,171,lowercase,['logging']
collections,57,,,47,,,,,,10,lowercase,['collections']
