name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
test_image_dataset_from_directory_validation_split,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'validation', 'split']"
test_image_dataset_from_directory_manual_labels,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'manual', 'labels']"
test_image_dataset_from_directory_follow_links,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'follow', 'links']"
test_image_dataset_from_directory_no_images,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'no', 'images']"
test_image_dataset_from_directory_crop_to_aspect_ratio,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'crop', 'to', 'aspect', 'ratio']"
test_image_dataset_from_directory_errors,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'errors']"
test_image_dataset_from_directory_not_batched,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'image', 'dataset', 'from', 'directory', 'not', 'batched']"
pil_image,12,,,,,,,1,,11,lower_case_with_underscores,"['pil', 'image']"
pil_image_resampling,10,,,,,,,,,10,lower_case_with_underscores,"['pil', 'image', 'resampling']"
Resampling,1,,,,,,,,,1,CapitalizedWords,['resampling']
_PIL_INTERPOLATION_METHODS,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['pil', 'interpolation', 'methods']"
NEAREST,1,,,,,,,,,1,UPPERCASE,"['neares', 't']"
HAMMING,1,,,,,,,,,1,UPPERCASE,"['hammin', 'g']"
BOX,1,,,,,,,,,1,UPPERCASE,"['bo', 'x']"
LANCZOS,1,,,,,,,,,1,UPPERCASE,"['lanczo', 's']"
_TF_INTERPOLATION_METHODS,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['tf', 'interpolation', 'methods']"
static_num_channels,4,,,,,,,,,4,lower_case_with_underscores,"['static', 'num', 'channels']"
crop_height,11,,,,,,,,,11,lower_case_with_underscores,"['crop', 'height']"
crop_width,11,,,,,,,,,11,lower_case_with_underscores,"['crop', 'width']"
crop_box_hstart,6,,,,,,,,,6,lower_case_with_underscores,"['crop', 'box', 'hstart']"
crop_box_wstart,6,,,,,,,,,6,lower_case_with_underscores,"['crop', 'box', 'wstart']"
crop_box_start,3,,,,,,,,,3,lower_case_with_underscores,"['crop', 'box', 'start']"
crop_box_size,3,,,,,,,,,3,lower_case_with_underscores,"['crop', 'box', 'size']"
save_img,2,1,,1,,,,,,,lower_case_with_underscores,"['save', 'img']"
resolve,1,,,,,,,,,1,lowercase,['resolve']
width_height_tuple,5,,,,,,,,,5,lower_case_with_underscores,"['width', 'height', 'tuple']"
crop_box_wend,2,,,,,,,,,2,lower_case_with_underscores,"['crop', 'box', 'wend']"
crop_box_hend,2,,,,,,,,,2,lower_case_with_underscores,"['crop', 'box', 'hend']"
crop_box,2,,,,,,,,,2,lower_case_with_underscores,"['crop', 'box']"
box,1,,,,,,1,,,,lowercase,['box']
TestImageUtils,1,,1,,,,,,,,CapitalizedWords,"['test', 'image', 'utils']"
test_smart_resize,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'smart', 'resize']"
test_smart_resize_tf_dataset,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'smart', 'resize', 'tf', 'dataset']"
test_input_np,2,,,,,,,,,2,lower_case_with_underscores,"['test', 'input', 'np']"
test_smart_resize_batch,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'smart', 'resize', 'batch']"
test_smart_resize_errors,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'smart', 'resize', 'errors']"
TestImageLoading,1,,1,,,,,,,,CapitalizedWords,"['test', 'image', 'loading']"
test_load_img,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'load', 'img']"
filename_rgb,11,,,,,,,,,11,lower_case_with_underscores,"['filename', 'rgb']"
filename_rgba,6,,,,,,,,,6,lower_case_with_underscores,"['filename', 'rgba']"
filename_grayscale_8bit,6,,,,,,,,,6,lower_case_with_underscores,"['filename', 'grayscale', '8bit']"
filename_grayscale_16bit,6,,,,,,,,,6,lower_case_with_underscores,"['filename', 'grayscale', '16bit']"
filename_grayscale_32bit,9,,,,,,,,,9,lower_case_with_underscores,"['filename', 'grayscale', '32bit']"
original_rgb_array,8,,,,,,,,,8,lower_case_with_underscores,"['original', 'rgb', 'array']"
original_rgb,2,,,,,,,,,2,lower_case_with_underscores,"['original', 'rgb']"
original_rgba_array,8,,,,,,,,,8,lower_case_with_underscores,"['original', 'rgba', 'array']"
original_rgba,2,,,,,,,,,2,lower_case_with_underscores,"['original', 'rgba']"
original_grayscale_8bit_array,6,,,,,,,,,6,lower_case_with_underscores,"['original', 'grayscale', '8bit', 'array']"
original_grayscale_8bit,2,,,,,,,,,2,lower_case_with_underscores,"['original', 'grayscale', '8bit']"
original_grayscale_16bit_array,7,,,,,,,,,7,lower_case_with_underscores,"['original', 'grayscale', '16bit', 'array']"
original_grayscale_16bit,2,,,,,,,,,2,lower_case_with_underscores,"['original', 'grayscale', '16bit']"
original_grayscale_32bit_array,11,,,,,,,,,11,lower_case_with_underscores,"['original', 'grayscale', '32bit', 'array']"
original_grayscale_32bit,2,,,,,,,,,2,lower_case_with_underscores,"['original', 'grayscale', '32bit']"
loaded_im,56,,,,,,,,,56,lower_case_with_underscores,"['loaded', 'im']"
loaded_im_array,69,,,,,,,,,69,lower_case_with_underscores,"['loaded', 'im', 'array']"
loaded_im_nearest,4,,,,,,,,,4,lower_case_with_underscores,"['loaded', 'im', 'nearest']"
loaded_im_array_nearest,6,,,,,,,,,6,lower_case_with_underscores,"['loaded', 'im', 'array', 'nearest']"
path_,8,,,,,,,,,8,lowercase,['path']
filename_red_square,3,,,,,,,,,3,lower_case_with_underscores,"['filename', 'red', 'square']"
red_square_array,2,,,,,,,,,2,lower_case_with_underscores,"['red', 'square', 'array']"
red_square,2,,,,,,,,,2,lower_case_with_underscores,"['red', 'square']"
red_channel_arr,3,,,,,,,,,3,lower_case_with_underscores,"['red', 'channel', 'arr']"
square_width,2,,,,,,,,,2,lower_case_with_underscores,"['square', 'width']"
square_height,2,,,,,,,,,2,lower_case_with_underscores,"['square', 'height']"
aspect_ratio_result,2,,,,,,,,,2,lower_case_with_underscores,"['aspect', 'ratio', 'result']"
test_array_to_img_and_img_to_array,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'array', 'to', 'img', 'and', 'img', 'to', 'array']"
keras_logging,3,,,1,,,,,,2,lower_case_with_underscores,"['keras', 'logging']"
INTERACTIVE_LOGGING,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES,"['interactive', 'logging']"
INTERACTIVE_LOGGING_DEFAULT,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['interactive', 'logging', 'default']"
PathLike,1,,,,,,,,,1,CapitalizedWords,"['path', 'like']"
fspath,1,,,,,,,,,1,lowercase,['fspath']
builtins,2,,,1,,,,,,1,lowercase,['builtins']
TestIOUtils,1,,1,,,,,,,,CapitalizedWords,"['test', 'io', 'utils']"
test_ask_to_proceed_with_overwrite,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'ask', 'to', 'proceed', 'with', 'overwrite']"
test_path_to_string,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'path', 'to', 'string']"
PathLikeDummy,2,,1,,,,,,,1,CapitalizedWords,"['path', 'like', 'dummy']"
test_print_msg,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'print', 'msg']"
logged,2,,,,,,,,,2,lowercase,['logged']
_to_matrix,5,1,,,,,,,,4,lower_case_with_underscores,"['to', 'matrix']"
u_rank,4,,,,,,,,,4,lower_case_with_underscores,"['u', 'rank']"
_align_matrices,3,1,,,,,,,,2,lower_case_with_underscores,"['align', 'matrices']"
x_matrix,3,,,,,,,,,3,lower_case_with_underscores,"['x', 'matrix']"
y_matrix,3,,,,,,,,,3,lower_case_with_underscores,"['y', 'matrix']"
x_tile,2,,,,,,,,,2,lower_case_with_underscores,"['x', 'tile']"
y_tile,2,,,,,,,,,2,lower_case_with_underscores,"['y', 'tile']"
x_aligned,4,,,,,,,,,4,lower_case_with_underscores,"['x', 'aligned']"
y_aligned,4,,,,,,,,,4,lower_case_with_underscores,"['y', 'aligned']"
diff_squared_l2_norm,2,,,,,,,,,2,lower_case_with_underscores,"['diff', 'squared', 'l2', 'norm']"
diff_l1_norm,2,,,,,,,,,2,lower_case_with_underscores,"['diff', 'l1', 'norm']"
KernelizedUtilsTest,1,,1,,,,,,,,CapitalizedWords,"['kernelized', 'utils', 'test']"
test_equal_vectors,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'equal', 'vectors']"
exact_kernel,15,,,,,,,,,15,lower_case_with_underscores,"['exact', 'kernel']"
test_almost_identical_vectors,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'almost', 'identical', 'vectors']"
