name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
req_list,2,,,,,,,,,2,lower_case_with_underscores,"['req', 'list']"
req,13,,,,,1,,,,12,lowercase,['req']
add,148,1,,,,,,,,147,lowercase,['add']
devel,6,,,,,,,,,6,lowercase,['devel']
devel_hadoop,5,,,,,,,,,5,lower_case_with_underscores,"['devel', 'hadoop']"
ADDITIONAL_EXTRAS_DEPENDENCIES,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['additional', 'extras', 'dependencies']"
CORE_EXTRAS_DEPENDENCIES,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['core', 'extras', 'dependencies']"
add_extras_for_all_providers,2,1,,,,,,,,1,lower_case_with_underscores,"['add', 'extras', 'for', 'all', 'providers']"
provider_dict,2,,,,,,,,,2,lower_case_with_underscores,"['provider', 'dict']"
items,383,2,,,,13,8,,,360,lowercase,['items']
add_additional_extras,2,1,,,,,,,,1,lower_case_with_underscores,"['add', 'additional', 'extras']"
extra_name,2,,,,,,,,,2,lower_case_with_underscores,"['extra', 'name']"
extra_dependencies,2,,,,,,,,,2,lower_case_with_underscores,"['extra', 'dependencies']"
EXTRAS_DEPRECATED_ALIASES,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['extras', 'deprecated', 'aliases']"
EXTRAS_DEPRECATED_ALIASES_NOT_PROVIDERS,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['extras', 'deprecated', 'aliases', 'not', 'providers']"
EXTRAS_DEPRECATED_ALIASES_IGNORED_FROM_REF_DOCS,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES,"['extras', 'deprecated', 'aliases', 'ignored', 'from', 'ref', 'docs']"
add_extras_for_all_deprecated_aliases,2,1,,,,,,,,1,lower_case_with_underscores,"['add', 'extras', 'for', 'all', 'deprecated', 'aliases']"
alias,10,,,,,1,,,,9,lowercase,['alias']
extra,204,1,,,,11,34,,,158,lowercase,['extra']
dependencies,9,,,,,,,,,9,lowercase,['dependencies']
get,1761,11,,,,,,,,1750,lowercase,['get']
add_all_deprecated_provider_packages,2,1,,,,,,,,1,lower_case_with_underscores,"['add', 'all', 'deprecated', 'provider', 'packages']"
provider,129,,,,,8,,,,121,lowercase,['provider']
replace_extra_dependencies_with_provider_packages,3,1,,,,,,,,2,lower_case_with_underscores,"['replace', 'extra', 'dependencies', 'with', 'provider', 'packages']"
ALL_PROVIDERS,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['all', 'providers']"
ALL_DB_PROVIDERS,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['all', 'db', 'providers']"
get_all_db_dependencies,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'all', 'db', 'dependencies']"
