name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
_create_getter,2,1,,,,,,,,1,lower_case_with_underscores,"['create', 'getter']"
warn,13,,,,,,,,,13,lowercase,['warn']
Person,3,,,,,,,,,3,CapitalizedWords,['person']
HTTPError,2,,,,,,,,,2,CapitalizedWords,"['http', 'error']"
unpack,2,,,,,,,,,2,lowercase,['unpack']
blocking,4,,,,,,,,,4,lowercase,['blocking']
sampleStdev,4,2,,,,,,,,2,mixedCase,"['sample', 'stdev']"
totalNumNodes,1,1,,,,,,,,,mixedCase,"['total', 'num', 'nodes']"
launch_group,1,,,,,,1,,,,lower_case_with_underscores,"['launch', 'group']"
word,16,,,,,,,,,16,lowercase,['word']
tempDist,6,,,,,,,,,6,mixedCase,"['temp', 'dist']"
setup,4,2,,,,,,,,2,lowercase,['setup']
OLD_CHANGELIST,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES,"['old', 'changelist']"
sumApprox,3,1,,,,,,,,2,mixedCase,"['sum', 'approx']"
issue_id,2,,,,,,,,,2,lower_case_with_underscores,"['issue', 'id']"
ms,9,,,,,,,,,9,lowercase,['ms']
exceptions,1,,,1,,,,,,,lowercase,['exceptions']
cond,2,,,,,,,,,2,lowercase,['cond']
co_names,3,,,,,,,,,3,lower_case_with_underscores,"['co', 'names']"
zipWithIndex,1,1,,,,,,,,,mixedCase,"['zip', 'with', 'index']"
TIMING_DATA,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['timing', 'data']"
_cached_cls,5,,,,,,,,,5,lower_case_with_underscores,"['cached', 'cls']"
jvec,2,,,,,,,,,2,lowercase,['jvec']
inputFormatClass,8,,,,,,,,,8,mixedCase,"['input', 'format', 'class']"
SVMModel,3,,1,,,,,,,2,CapitalizedWords,"['svm', 'model']"
CloudPickler,6,,1,1,,,,,,4,CapitalizedWords,"['cloud', 'pickler']"
github_name,3,,,,,,,,,3,lower_case_with_underscores,"['github', 'name']"
cluster_url,2,,,,,,,,,2,lower_case_with_underscores,"['cluster', 'url']"
add_comment,1,,,,,,,,,1,lower_case_with_underscores,"['add', 'comment']"
OSError,6,,,,,,,,,6,CapitalizedWords,"['os', 'error']"
end,2,,,,,,,,,2,lowercase,['end']
SocketServer,4,,,1,,,,,,3,CapitalizedWords,"['socket', 'server']"
feature,1,,,1,,,,,,,lowercase,['feature']
id,40,3,,,,,,,,37,lowercase,['id']
TestCase,9,,,,,,,,,9,CapitalizedWords,"['test', 'case']"
cname,6,,,,,,,,,6,lowercase,['cname']
env,11,,,,,,2,,,9,lowercase,['env']
description,2,,,,,,,,,2,lowercase,['description']
input_stream2,2,,,,,,,,,2,lower_case_with_underscores,"['input', 'stream2']"
filename,20,,,,,,,,,20,lowercase,['filename']
summarize,3,1,,,,,,,,2,lowercase,['summarize']
jira_client,12,,,,,,,,,12,lower_case_with_underscores,"['jira', 'client']"
types,24,,,2,,,,,,22,lowercase,['types']
dir_name,2,,,,,,,,,2,lower_case_with_underscores,"['dir', 'name']"
attempt,4,,,,,,,,,4,lowercase,['attempt']
trainingData,7,,,,,,,,,7,mixedCase,"['training', 'data']"
strs,4,,,,,,,,,4,lowercase,['strs']
pipe_objs,2,1,,,,,,,,1,lower_case_with_underscores,"['pipe', 'objs']"
html_use_index,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'use', 'index']"
environ,46,,,,,,,,,46,lowercase,['environ']
closestPoint,2,1,,,,,,,,1,mixedCase,"['closest', 'point']"
repartitioned,2,,,,,,,,,2,lowercase,['repartitioned']
NotImplementedError,20,,,,,,,,,20,CapitalizedWords,"['not', 'implemented', 'error']"
first,50,1,,,,,,,,49,lowercase,['first']
setNumIterations,1,1,,,,,,,,,mixedCase,"['set', 'num', 'iterations']"
tag_exists,3,1,,,,,,,,2,lower_case_with_underscores,"['tag', 'exists']"
itemgetter,11,,,3,,,,,,8,lowercase,['itemgetter']
vars,1,,,,,,,,,1,lowercase,['vars']
functools,2,,,2,,,,,,,lowercase,['functools']
master_nodes,39,,,,,,1,,,38,lower_case_with_underscores,"['master', 'nodes']"
synonyms,2,,,,,,,,,2,lowercase,['synonyms']
test_full_outer_join,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'full', 'outer', 'join']"
assertTrue,94,,,,,,,,,94,mixedCase,"['assert', 'true']"
hexdigest,4,,,,,,,,,4,lowercase,['hexdigest']
test_binary_files,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'binary', 'files']"
JavaSparkContext,1,,,,,,,,,1,CapitalizedWords,"['java', 'spark', 'context']"
fit,4,3,,,,,,,,1,lowercase,['fit']
run_cmd,44,4,,,,,,,,40,lower_case_with_underscores,"['run', 'cmd']"
partitionFunc,10,,,,,,,,,10,mixedCase,"['partition', 'func']"
kwargs,8,,,,,,,,,8,lowercase,['kwargs']
numSlices,9,,,,,,,,,9,mixedCase,"['num', 'slices']"
queueStream,13,1,,,,,,,,12,mixedCase,"['queue', 'stream']"
cls,126,,,,,,,,,126,lowercase,['cls']
_deserialized,4,,,,,,,,,4,lowercase,['deserialized']
test_func_globals,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'func', 'globals']"
reindexClassLabels,2,1,,,,,,,,1,mixedCase,"['reindex', 'class', 'labels']"
init_time,2,,,,,,,,,2,lower_case_with_underscores,"['init', 'time']"
memory_info,1,,,,,,,,,1,lower_case_with_underscores,"['memory', 'info']"
ByteType,4,,1,1,,,,,,2,CapitalizedWords,"['byte', 'type']"
ssh_write,2,1,,,,,,,,1,lower_case_with_underscores,"['ssh', 'write']"
_copy_func,2,1,,,,,,,,1,lower_case_with_underscores,"['copy', 'func']"
array_equal,7,,,1,,,,,,6,lower_case_with_underscores,"['array', 'equal']"
regParam,12,,,,,,,,,12,mixedCase,"['reg', 'param']"
DISK_ONLY_2,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES,"['disk', 'only', '2']"
base_recurse,3,,,,,,,,,3,lower_case_with_underscores,"['base', 'recurse']"
val_ser,14,,,,,,,,,14,lower_case_with_underscores,"['val', 'ser']"
_jvm,71,,,,,,1,,,70,lowercase,['jvm']
l,62,,,,,,5,,,57,b,['l']
volume_type,1,,,,,,,,,1,lower_case_with_underscores,"['volume', 'type']"
log4j,6,,,,,,,,,6,lowercase,['log4j']
dumps,47,9,,1,,,,,,37,lowercase,['dumps']
hql,1,1,,,,,,,,,lowercase,['hql']
timeout,13,,,,,,,,,13,lowercase,['timeout']
each,2,,,,,,,,,2,lowercase,['each']
debug,1,,,,,,,,,1,lowercase,['debug']
mean,21,3,,,,,,,,18,lowercase,['mean']
test_bad_inputs,2,2,,,,,,,,,lower_case_with_underscores,"['test', 'bad', 'inputs']"
REDUCE,5,,,,,,,,,5,UPPERCASE,"['reduc', 'e']"
_batch_setitems,1,,,,,,,,,1,lower_case_with_underscores,"['batch', 'setitems']"
from_iterable,4,,,,,,,,,4,lower_case_with_underscores,"['from', 'iterable']"
message,4,,,,,,,,,4,lowercase,['message']
overwrite,2,,,,,,,,,2,lowercase,['overwrite']
eType,2,,,,,,,,,2,mixedCase,"['e', 'type']"
rs,3,,,,,,,,,3,lowercase,['rs']
gradient,2,1,,,,,,,,1,lowercase,['gradient']
dst,3,,,,,,,,,3,lowercase,['dst']
jdstream,7,,,,,,,,,7,lowercase,['jdstream']
content,8,,,,,,,,,8,lowercase,['content']
re,31,,,11,,,,,,20,lowercase,['re']
_need_python_to_sql_conversion,6,1,,,,,,,,5,lower_case_with_underscores,"['need', 'python', 'to', 'sql', 'conversion']"
_get_path,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'path']"
dsh,2,,,,,,,,,2,lowercase,['dsh']
newAPIHadoopRDD,7,1,,,,,,,,6,mixedCase,"['new', 'api', 'hadoop', 'rd', 'd']"
Dummy,4,,2,,,,,,,2,CapitalizedWords,['dummy']
accum_param,13,,,,,,,,,13,lower_case_with_underscores,"['accum', 'param']"
resume,1,,,,,,,,,1,lowercase,['resume']
ascending,8,,,,,,,,,8,lowercase,['ascending']
_optinfo,2,,,,,,,,,2,lowercase,['optinfo']
other_batch,3,,,,,,,,,3,lower_case_with_underscores,"['other', 'batch']"
getConf,1,,,,,,,,,1,mixedCase,"['get', 'conf']"
freq,6,,,,,,,,,6,lowercase,['freq']
md5,4,,,,,,,,,4,lowercase,['md5']
javaStorageLevel,6,,,,,,,,,6,mixedCase,"['java', 'storage', 'level']"
logging,4,,,2,,,,,,2,lowercase,['logging']
test_repartition,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'repartition']"
compute_real_exit_code,2,1,,,,,,,,1,lower_case_with_underscores,"['compute', 'real', 'exit', 'code']"
boot_time,2,,,,,,,,,2,lower_case_with_underscores,"['boot', 'time']"
traceback,15,,,6,,,,,,9,lowercase,['traceback']
AF_INET,6,,,2,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['af', 'inet']"
shark_v,3,,,,,,,,,3,lower_case_with_underscores,"['shark', 'v']"
filter,25,2,,,,,,,,23,lowercase,['filter']
corrections,2,,,,,,,,,2,lowercase,['corrections']
degreesOfFreedom,2,1,,,,,,,,1,mixedCase,"['degrees', 'of', 'freedom']"
save_timeseries,2,1,,,,,,,,1,lower_case_with_underscores,"['save', 'timeseries']"
LAMBDA,2,,,,,,,,,2,UPPERCASE,"['lambd', 'a']"
rand,13,,,2,,,,,,11,lowercase,['rand']
ranf,1,,,,,,,,,1,lowercase,['ranf']
features,95,,,,,,,,,95,lowercase,['features']
makefile,3,,,,,,,,,3,lowercase,['makefile']
RuntimeError,2,,,,,,,,,2,CapitalizedWords,"['runtime', 'error']"
processPartition,2,1,,,,,,,,1,mixedCase,"['process', 'partition']"
rank,12,,,,,,,,,12,lowercase,['rank']
registerPython,1,,,,,,,,,1,mixedCase,"['register', 'python']"
enumerate,9,,,,,,,,,9,lowercase,['enumerate']
jira_components,2,,,,,,,,,2,lower_case_with_underscores,"['jira', 'components']"
serve_forever,1,,,,,,,,,1,lower_case_with_underscores,"['serve', 'forever']"
NEW_CHANGELIST,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['new', 'changelist']"
old_level,2,,,,,,,,,2,lower_case_with_underscores,"['old', 'level']"
groupWith,1,1,,,,,,,,,mixedCase,"['group', 'with']"
_from_id,2,1,,,,,,,,1,lower_case_with_underscores,"['from', 'id']"
