name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
property,241,,,,,,,,,241,lowercase,['property']
is_authenticated,20,12,,,,,,,,8,lower_case_with_underscores,"['is', 'authenticated']"
is_anonymous,34,12,,,,,,,,22,lower_case_with_underscores,"['is', 'anonymous']"
data_profiling,16,12,,,,,,,,4,lower_case_with_underscores,"['data', 'profiling']"
is_superuser,32,14,,,,,12,,,6,lower_case_with_underscores,"['is', 'superuser']"
load_user,16,12,,,,,,,,4,lower_case_with_underscores,"['load', 'user']"
userid,48,,,,,12,,,,36,lowercase,['userid']
session,4563,,,14,,459,515,,,3575,lowercase,['session']
first,196,,,,,4,,,,192,lowercase,['first']
filter,850,,,,,5,41,,,804,lowercase,['filter']
query,1357,11,,,,36,47,,,1263,lowercase,['query']
User,103,,2,1,,,,,,100,CapitalizedWords,['user']
id,293,,,,,22,19,,,252,lowercase,['id']
user_loader,12,,,,,,,,,12,lower_case_with_underscores,"['user', 'loader']"
login,481,26,,,,3,96,,2,354,lowercase,['login']
request,791,,,25,,32,12,,,722,lowercase,['request']
username,485,,,,,41,175,,,269,lowercase,['username']
merge,326,,,2,,,,,,324,lowercase,['merge']
login_user,16,,,4,,,,,,12,lower_case_with_underscores,"['login', 'user']"
AirflowException,2015,,2,469,,,,,,1544,CapitalizedWords,"['airflow', 'exception']"
status_code,482,,,,,4,34,,,444,lower_case_with_underscores,"['status', 'code']"
AirflowBadRequest,56,,2,6,,,,,,48,CapitalizedWords,"['airflow', 'bad', 'request']"
AirflowNotFoundException,12,,2,,,,,,,10,CapitalizedWords,"['airflow', 'not', 'found', 'exception']"
AirflowSensorTimeout,79,,2,25,,,,,,52,CapitalizedWords,"['airflow', 'sensor', 'timeout']"
AirflowRescheduleException,16,,2,6,,,,,,8,CapitalizedWords,"['airflow', 'reschedule', 'exception']"
reschedule_date,45,,,,,6,3,,,36,lower_case_with_underscores,"['reschedule', 'date']"
AirflowTaskTimeout,20,,2,7,,,,,,11,CapitalizedWords,"['airflow', 'task', 'timeout']"
